"第3表食中毒事件・患者・死者数,原因施設・都道府県－保健所設置市及び特別区（再掲）別  都道府県名等 全国    2024年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,,,家庭,,,事業場,,,事業場,,,事業場,,,事業場,,,事業場,,,事業場,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,学校,,,病院,,,病院,,,病院,,,病院,,,旅館,,,飲食店,,,販売店,,,製造所,,,仕出屋,,,採取場所,,,その他,,,不明,,
,,,,,,,総数,,,給食施設,,,給食施設,,,給食施設,,,寄宿舎,,,その他,,,総数,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,給食施設,,,寄宿舎,,,その他,,,総数,,,給食施設,,,寄宿舎,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,事業所等,,,保育所,,,老人ホーム,,,,,,,,,,,,単独調理場,,,単独調理場,,,単独調理場,,,単独調理場,,,共同調理場,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,幼稚園,,,小学校,,,中学校,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者,事件,患者,死者
島根県,14,578,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,150,-,-,-,-,2,417,-,-,-,-,-,-,-,-,-,-,3,7,-
岡山県,9,296,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,135,-,7,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
広島県,14,261,-,2,2,-,1,17,-,-,-,-,-,-,-,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,-,8,143,-,-,-,-,-,-,-,1,82,-,-,-,-,-,-,-,1,1,-
山口県,16,131,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,4,28,-,-,-,-,-,-,-,1,82,-,-,-,-,1,4,-,5,6,-
徳島県,5,198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,3,84,-,-,-,-,1,104,-,-,-,-,-,-,-,-,-,-,-,-,-
香川県,11,160,-,-,-,-,1,27,-,-,-,-,-,-,-,1,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,23,-,6,87,-,-,-,-,1,9,-,1,9,-,-,-,-,-,-,-,1,5,-
愛媛県,13,207,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,1,5,-,-,-,-,-,-,-,2,106,-,8,83,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-
高知県,17,132,-,5,7,-,1,15,-,-,-,-,-,-,-,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,105,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-
福岡県,67,499,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,51,-,1,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,309,-,4,4,-,-,-,-,1,111,-,-,-,-,-,-,-,13,15,-
佐賀県,8,62,-,2,8,-,1,20,-,-,-,-,-,-,-,1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,1,15,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-
