都道府県,総数-事件,総数-患者,総数-死者,魚介類-総数-事件,魚介類-総数-患者,魚介類-総数-死者,貝類-事件,貝類-患者,貝類-死者,ふぐ-事件,ふぐ-患者,ふぐ-事件,魚介類-その他-事件,魚介類-その他-患者,魚介類-その他-死者,魚介類加工品-ぞ件,魚介類加工品-患者,魚介類加工品-死者,魚介類加工品-魚肉練り製品-事件,魚肉練り製品-患者,魚肉練り製品-死者,魚介類加工品-その他-事件,魚介類加工品-その他-患者,魚介類加工品-その他-死者,肉類及びその加工品-事件,肉類及びその加工品-患者,肉類及びその加工品-死者,卵類及びその加工品-事件,卵類及びその加工品-患者,卵類及びその加工品-死者,乳類及びその加工品-事件,乳類及びその加工品-患者,乳類及びその加工品-死者,穀類及びその加工品-事件,穀類及びその加工品-患者,穀類及びその加工品-死者,野菜及びその加工品-総数-事件,野菜及びその加工品-総数-患者,野菜及びその加工品-総数-死者,豆類-事件,豆類-患者,豆類-死者,きのこ類-事件,きのこ類-患者,きのこ類-死者,野菜及びその加工品-その他-事件,野菜及びその加工品-その他-患者,野菜及びその加工品-その他-死者,菓子類-事件,菓子類-患者,菓子類-死者,複合調理食品-事件,複合調理食品-患者,複合調理食品-死者,その他-総数-事件,その他-総数-患者,その他-総数-死者,その他-食品特定-事件,その他-食品特定-患者,その他-食品特定-死者,その他-食事特定-事件,その他-食事特定-患者,その他-食事特定-死者,不明-事件,不明-患者,不明-死者
仙台市,7,92,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,4,79,-,-,-,-,4,79,-,-,-,-
さいたま市,3,20,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,18,-,-,-,-,1,18,-,1,1,-
千葉市,5,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,4,63,-,-,-,-,4,63,-,-,-,-
東京都区部,97,1242,-,32,169,-,5,106,-,-,-,-,27,63,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,48,-,58,1006,-,6,71,-,52,935,-,4,13,-
横浜市,37,400,-,13,19,-,1,7,-,-,-,-,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,22,-,20,355,-,1,162,-,19,193,-,3,4,-
川崎市,11,32,-,4,4,-,-,-,-,1,1,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,24,-,-,-,-,3,24,-,4,4,-
相模原市,7,52,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,50,-,-,-,-,-,-,-,-,-,-,-,-,-
新潟市,6,65,-,1,15,-,-,-,-,-,-,-,1,15,-,1,16,-,-,-,-,1,16,-,1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,15,-,1,2,-,1,13,-,1,1,-
静岡市,3,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,60,-,-,-,-,3,60,-,-,-,-
浜松市,3,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,107,-,-,-,-,3,107,-,-,-,-
